jaf_id,department_id,program_id
1,1,1
1,1,3
1,1,4
1,1,5
1,1,9
1,1,11
1,2,1
1,2,3
1,2,6
1,2,9
1,2,12
1,3,2
1,3,4
1,3,5
1,3,6
1,3,8
1,3,9
1,3,10
1,3,12
1,4,1
1,4,5
1,4,8
1,4,11
1,4,12
1,5,1
1,5,5
1,5,6
1,5,7
1,5,9
1,6,1
1,6,6
1,6,7
1,6,9
1,6,10
1,6,11
1,6,12
1,7,1
1,7,5
1,7,6
1,7,8
1,7,10
1,7,11
1,7,12
1,8,1
1,8,2
1,8,3
1,8,7
1,8,8
1,9,1
1,9,2
1,9,7
1,9,9
1,10,3
1,10,5
1,10,7
1,10,8
1,10,10
1,10,11
1,10,12
1,11,1
1,11,2
1,11,3
1,11,4
1,11,6
1,11,8
1,11,9
1,11,10
1,11,11
1,11,12
1,12,1
1,12,2
1,12,3
1,12,5
1,12,7
1,12,9
1,12,11
1,12,12
1,13,1
1,13,2
1,13,4
1,13,5
1,13,6
1,13,7
1,13,11
1,14,2
1,14,6
1,14,8
1,14,12
1,15,1
1,15,3
1,15,4
1,15,5
1,15,6
1,15,7
1,15,8
1,15,9
1,15,10
1,15,11
1,16,2
1,16,3
1,16,4
1,16,5
1,16,6
1,16,7
1,16,9
1,16,10
1,16,11
1,17,1
1,17,5
1,17,9
1,17,10
1,17,11
1,17,12
1,18,2
1,18,3
1,18,5
1,18,7
1,18,12
1,19,1
1,19,2
1,19,3
1,19,4
1,19,5
1,19,6
1,19,7
1,19,9
1,20,2
1,20,3
1,20,5
1,20,6
1,20,7
1,20,8
1,20,9
1,20,10
1,20,11
1,20,12
1,21,1
1,21,2
1,21,12
1,22,2
1,22,4
1,22,5
1,22,6
1,22,7
1,22,8
1,22,9
1,22,11
1,22,12
1,23,4
1,23,5
1,23,6
1,23,7
1,23,8
1,23,10
1,23,11
1,23,12
1,24,3
1,24,4
1,24,5
1,24,6
1,24,8
1,24,9
1,24,10
1,24,12
2,1,1
2,1,2
2,1,3
2,1,4
2,1,5
2,1,7
2,1,8
2,1,9
2,1,10
2,1,11
2,2,2
2,2,3
2,2,5
2,2,7
2,2,9
2,2,10
2,2,11
2,2,12
2,3,1
2,3,2
2,3,6
2,3,7
2,3,8
2,3,9
2,3,10
2,4,1
2,4,7
2,4,8
2,4,10
2,4,11
2,4,12
2,5,5
2,5,6
2,5,8
2,5,10
2,5,11
2,6,2
2,6,3
2,6,4
2,6,5
2,6,6
2,6,7
2,6,8
2,6,11
2,6,12
2,7,2
2,7,3
2,7,7
2,8,1
2,8,2
2,8,4
2,8,7
2,8,8
2,8,9
2,8,10
2,8,12
2,9,1
2,9,2
2,9,3
2,9,4
2,9,5
2,9,8
2,9,10
2,9,12
2,10,1
2,10,3
2,10,4
2,10,7
2,10,12
2,11,4
2,11,5
2,11,6
2,11,8
2,11,9
2,11,10
2,11,11
2,11,12
2,12,1
2,12,2
2,12,4
2,12,7
2,12,9
2,12,10
2,13,1
2,13,2
2,13,4
2,13,6
2,13,8
2,13,10
2,13,11
2,14,2
2,14,3
2,14,6
2,14,7
2,14,8
2,14,9
2,14,12
2,15,1
2,15,2
2,15,3
2,15,5
2,15,7
2,15,9
2,15,10
2,15,11
2,16,2
2,16,5
2,16,6
2,16,7
2,16,8
2,16,11
2,16,12
2,17,1
2,17,2
2,17,4
2,17,6
2,17,7
2,17,8
2,17,9
2,17,12
2,18,1
2,18,2
2,18,4
2,18,5
2,18,6
2,18,7
2,18,8
2,18,9
2,18,10
2,18,11
2,18,12
2,19,1
2,19,2
2,19,7
2,19,8
2,19,9
2,19,12
2,20,1
2,20,2
2,20,4
2,20,5
2,20,7
2,20,9
2,20,10
2,20,11
2,20,12
2,21,1
2,21,2
2,21,3
2,21,4
2,21,5
2,21,7
2,21,8
2,21,10
2,21,11
2,22,1
2,22,2
2,22,5
2,22,7
2,22,10
2,22,11
2,22,12
2,23,3
2,23,5
2,23,6
2,23,10
2,23,11
2,23,12
2,24,1
2,24,2
2,24,3
2,24,4
2,24,9
2,24,10
3,1,2
3,1,5
3,1,6
3,1,9
3,1,12
3,2,1
3,2,2
3,2,5
3,2,6
3,2,7
3,2,10
3,2,11
3,2,12
3,3,2
3,3,3
3,3,5
3,3,6
3,3,7
3,3,9
3,3,10
3,3,11
3,4,1
3,4,2
3,4,3
3,4,4
3,4,6
3,4,8
3,4,9
3,4,10
3,4,12
3,5,1
3,5,2
3,5,7
3,5,9
3,5,10
3,5,11
3,6,2
3,6,4
3,6,6
3,6,7
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,7,3
3,7,4
3,7,5
3,7,6
3,7,7
3,7,8
3,7,9
3,7,10
3,7,11
3,8,1
3,8,3
3,8,5
3,8,6
3,8,7
3,8,8
