student_rno,jaf_id,date_time
190000001,145,2021-02-09 10:41:54
190000001,570,2021-02-02 10:45:41
190000001,604,2021-02-18 10:23:24
190000002,369,2021-02-14 05:11:51
190000002,414,2021-03-05 00:54:49
210000003,111,2021-02-14 17:29:43
210000003,135,2021-02-14 23:25:39
210000003,679,2021-03-08 13:28:45
190000004,178,2021-02-14 06:22:24
190000004,476,2021-02-27 20:27:46
190000004,661,2021-02-18 14:57:50
210000005,30,2021-02-02 17:04:54
210000005,500,2021-03-04 08:54:09
210000005,550,2021-02-23 02:39:06
210000006,267,2021-02-23 23:12:22
210000006,284,2021-02-23 06:56:38
210000006,402,2021-02-07 10:50:05
190000007,201,2021-02-15 12:45:50
190000007,410,2021-02-12 14:54:52
190000007,485,2021-02-10 08:54:18
190000007,575,2021-02-13 03:33:48
190000007,632,2021-03-04 19:26:14
190000007,633,2021-02-04 13:50:08
210000008,103,2021-03-06 23:22:24
210000008,375,2021-02-20 19:09:24
210000008,412,2021-02-03 09:15:00
210000008,510,2021-03-05 14:54:46
210000008,576,2021-02-25 19:52:56
190000009,367,2021-02-03 23:10:24
190000009,529,2021-02-28 09:39:06
190000009,541,2021-02-28 05:15:46
180000010,29,2021-01-23 18:36:07
180000010,190,2021-03-14 02:51:39
180000010,556,2021-02-13 06:48:49
180000010,582,2021-02-08 21:21:09
180000010,594,2021-02-18 01:40:06
210000011,84,2021-02-13 16:52:47
210000011,214,2021-01-23 02:19:36
210000011,464,2021-02-08 18:30:22
170000012,126,2021-02-26 17:35:52
170000012,195,2021-01-20 21:44:56
210000014,60,2021-03-06 09:27:41
210000014,154,2021-02-06 01:35:27
210000014,388,2021-02-28 08:39:02
210000014,483,2021-02-18 09:30:18
210000014,491,2021-02-08 22:30:03
210000015,131,2021-02-15 00:04:30
210000015,171,2021-02-03 03:37:08
210000015,212,2021-02-11 06:10:49
210000016,277,2021-02-12 17:40:52
210000016,335,2021-02-26 22:14:15
210000016,376,2021-02-12 22:08:08
210000016,582,2021-02-12 20:39:57
210000016,637,2021-02-08 03:40:08
200000018,6,2021-02-03 05:24:52
200000018,35,2021-01-26 15:53:23
200000018,188,2021-03-03 21:31:57
